,address,damage,date,cause,longitude,latitude
165,入間町２－２６,道路冠水,2005/09/04,集中豪雨,139.586646,35.64656
166,入間町２－２６,床下浸水（駐車場）,2005/09/04,集中豪雨,139.586646,35.64656
167,仙川町２－１,床上浸水（団確認時水なし）,2005/09/04,集中豪雨,139.578375,35.661413
168,緑ケ丘１－１０,道路冠水,2005/09/04,集中豪雨,139.582377,35.666398
169,緑ケ丘１－１１,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.580804,35.666727
170,緑ケ丘１－３８,半地下浸水（駐車場）,2005/09/04,集中豪雨,139.579619,35.670739000000005
171,緑ケ丘１－３８,下水より水があふれる,2005/09/04,集中豪雨,139.579619,35.670739000000005
172,緑ケ丘１－４５,半地下浸水（駐車場）,2005/09/04,集中豪雨,139.576286,35.673003
173,緑ケ丘１－４５,床上浸水（地下）,2005/09/04,集中豪雨,139.576286,35.673003
174,緑ケ丘１－４５,道路冠水・半地下駐車場,2005/09/04,集中豪雨,139.576286,35.673003
175,緑ケ丘２－１４,敷地内浸水,2005/09/04,集中豪雨,139.585613,35.670537
176,緑ケ丘２－５１,汚水升から下水があふれる,2005/09/04,集中豪雨,139.587951,35.667387
177,若葉町１－１,道路冠水・床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
178,若葉町１－１,床上浸水,2005/09/04,集中豪雨,139.579725,35.659087
179,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
180,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
181,若葉町１－１,地下室浸水（地下駐車場）,2005/09/04,集中豪雨,139.579725,35.659087
182,若葉町１－１,５０～６０cm冠水  車が流されている,2005/09/04,集中豪雨,139.579725,35.659087
183,若葉町１－１,地下室浸水（地下駐車場）,2005/09/04,集中豪雨,139.579725,35.659087
184,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
185,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
