住所,状況,被害発生日,要因
入間町２－２６,床下浸水（駐車場）,2005/09/04,集中豪雨
入間町２－２６,道路冠水,2005/09/04,集中豪雨
入間町２－２６,床下浸水（駐車場）,2005/09/04,集中豪雨
仙川町２－１,床上浸水（団確認時水なし）,2005/09/04,集中豪雨
緑ケ丘１－１０,道路冠水,2005/09/04,集中豪雨
緑ケ丘１－１１,地下室浸水（駐車場）,2005/09/04,集中豪雨
緑ケ丘１－３８,半地下浸水（駐車場）,2005/09/04,集中豪雨
緑ケ丘１－３８,下水より水があふれる,2005/09/04,集中豪雨
緑ケ丘１－４５,半地下浸水（駐車場）,2005/09/04,集中豪雨
緑ケ丘１－４５,床上浸水（地下）,2005/09/04,集中豪雨
緑ケ丘１－４５,道路冠水・半地下駐車場,2005/09/04,集中豪雨
緑ケ丘２－１４,敷地内浸水,2005/09/04,集中豪雨
緑ケ丘２－５１,汚水升から下水があふれる,2005/09/04,集中豪雨
若葉町１－１,道路冠水・床下浸水,2005/09/04,集中豪雨
若葉町１－１,床上浸水,2005/09/04,集中豪雨
若葉町１－１,床下浸水,2005/09/04,集中豪雨
若葉町１－１,車両,2005/09/04,集中豪雨
若葉町１－１,地下室浸水（地下駐車場）,2005/09/04,集中豪雨
若葉町１－１,５０～６０cm冠水  車が流されている,2005/09/04,集中豪雨
若葉町１－１,地下室浸水（地下駐車場）,2005/09/04,集中豪雨
若葉町１－１,車両,2005/09/04,集中豪雨
若葉町１－１,床下浸水,2005/09/04,集中豪雨
若葉町１－１,床下浸水,2005/09/04,集中豪雨
若葉町１－１,床下浸水,2005/09/04,集中豪雨
若葉町１－１,床下浸水,2005/09/04,集中豪雨
若葉町１－１,車両,2005/09/04,集中豪雨
若葉町１－１,車両,2005/09/04,集中豪雨
若葉町１－１,車両,2005/09/04,集中豪雨
若葉町１－３,床上浸水,2005/09/04,集中豪雨
若葉町１－３,床上浸水,2005/09/04,集中豪雨
若葉町１－３,床上浸水,2005/09/04,集中豪雨
若葉町１－３,床上浸水,2005/09/04,集中豪雨
若葉町１－３,床上浸水,2005/09/04,集中豪雨
若葉町１－３,床上浸水,2005/09/04,集中豪雨
若葉町１－３５,道路上に砕石多数散乱,2005/09/04,集中豪雨
若葉町１－３６,地下室浸水・汚水桝の破損（下水の逆流）,2005/09/04,集中豪雨
若葉町１－４,床下浸水・郵政省宿舎前土砂の流出,2005/09/04,集中豪雨
若葉町１－４,越水危険・入間川,2005/09/04,集中豪雨
若葉町１－４,京王線敷地内下水マンホール蓋飛散１箇所,2005/09/04,集中豪雨
若葉町１－４,地下室浸水（駐車場）,2005/09/04,集中豪雨
若葉町１－７,床下浸水,2005/09/04,集中豪雨
若葉町１－７,床上浸水,2005/09/04,集中豪雨
若葉町１－７,床上浸水,2005/09/04,集中豪雨
若葉町１－７,床下浸水,2005/09/04,集中豪雨
若葉町１－７,床下浸水,2005/09/04,集中豪雨
若葉町１－８,床上浸水８０cm,2005/09/04,集中豪雨
若葉町１－８,床下浸水,2005/09/04,集中豪雨
若葉町３－１,ガレージ浸水（道路面と同じ高さ）,2005/09/04,集中豪雨
若葉町３－１,床下浸水・車が水につかった,2005/09/04,集中豪雨
若葉町３－１,床下浸水・車が水につかった,2005/09/04,集中豪雨
若葉町３－２,道路冠水,2005/09/04,集中豪雨
若葉町３－２,ガレージ浸水,2005/09/04,集中豪雨
若葉町３－２,床上浸水（半地下部分）,2005/09/04,集中豪雨
若葉町３－２,車両,2005/09/04,集中豪雨
調布ケ丘２－１６,半地下浸水,2005/09/04,集中豪雨
調布ケ丘２－１６,半地下浸水,2005/09/04,集中豪雨
調布ケ丘２－１６,半地下浸水,2005/09/04,集中豪雨
深大寺元町１－６,雨水逆流・自然に水引く,2005/09/04,集中豪雨
深大寺北町２－１,道路冠水：総合体育館東側  側溝ゴミ除去で解消,2005/09/04,集中豪雨
