"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","調布市","上石原二丁目","","19","9","-38247.7","-27633.6","35.654867","139.528145","1","1","0","0"
"東京都","調布市","多摩川一丁目","","36","9","-38933.1","-27540.3","35.648692","139.529198","1","1","0","0"
"東京都","調布市","上石原一丁目","","9","9","-37813.7","-27583.1","35.658781","139.528687","1","1","0","0"
"東京都","調布市","西町","","1046","9","-36035.8","-27540.7","35.674808","139.529095","0","1","0","0"
"東京都","調布市","下石原三丁目","","4","9","-38396.3","-27561.8","35.653530","139.528943","1","1","0","0"
"東京都","調布市","上石原二丁目","","28","9","-38049.7","-27534.8","35.656655","139.529229","1","1","0","0"
"東京都","調布市","上石原一丁目","","23","9","-37864.9","-27522.4","35.658321","139.529360","1","1","0","0"
"東京都","調布市","上石原二丁目","","41","9","-38213.0","-27537.2","35.655183","139.529208","1","1","0","0"
"東京都","調布市","多摩川一丁目","","36","9","-38867.5","-27531.6","35.649284","139.529293","1","0","0","0"
"東京都","調布市","上石原一丁目","","14","9","-37603.2","-27513.2","35.660680","139.529453","1","1","0","0"
"東京都","調布市","上石原二丁目","","30","9","-38106.4","-27505.3","35.656145","139.529557","1","1","0","0"
"東京都","調布市","下石原三丁目","","7","9","-38505.1","-27505.0","35.652551","139.529573","1","1","0","0"
"東京都","調布市","下石原三丁目","","3","9","-38396.6","-27496.6","35.653529","139.529662","1","1","0","0"
"東京都","調布市","上石原一丁目","","16","9","-37535.7","-27499.0","35.661289","139.529607","1","1","0","0"
"東京都","調布市","上石原二丁目","","40","9","-38273.0","-27510.1","35.654643","139.529510","1","1","0","0"
"東京都","調布市","上石原一丁目","","15","9","-37624.4","-27483.4","35.660490","139.529782","1","1","0","0"
"東京都","調布市","上石原一丁目","","16","9","-37517.0","-27456.5","35.661459","139.530076","1","0","0","0"
"東京都","調布市","下石原三丁目","","2","9","-38336.6","-27465.6","35.654071","139.530003","1","1","0","0"
"東京都","調布市","下石原三丁目","","7","9","-38474.5","-27484.7","35.652827","139.529797","1","0","0","0"
